,Author,Quote
0,Alex Shultz,"“Different verticals need different terminal retention rates for them to have successful businesses. If you’re on e-commerce and you’re retaining on a monthly active basis, like 20 to 30% of your users, you’re going to do very well. If you’re on social media, and the first batch of people signing up to your product are not like, 80% retained, you’re not going to have a massive social media site. [...] What you need to do is have the tools to think, ‘who out there is comparable’ and how you can look at it and say, ‘am I anywhere close to what real success looks like in this vertical?’”"
1,Stuart McDonald,"“Tracking marketing is a cultural thing. Either tracking matters or it doesn’t. You’re in one camp or the other. Either you’re analytical and data-driven, or you go by what you think works. People who go by gut are wrong.”"
2,Matt Trifiro,"“Time and money are your scarcest resources. You want to make sure you’re allocating them in the highest-impact areas. Data reveals impact, and with data, you can bring more science to your decisions.”"
3,Andrew Chen,"“Have a vision for what you are trying to do. Use data to validate and help you navigate that vision, and map it down into small enough pieces where you can begin to execute in a data-informed way. Don’t let shallow analysis of data that happens to be cheap/easy/fast to collect nudge you off-course in your entrepreneurial pursuits.”"
4,Meenal Balar,"“Execution is so critical. Sometimes you just need to try something, see what works and move forward.”"
5,John Egan,"“When we initially started testing email subject lines, we defined the success criteria as driving an email open. This seemed to be the most straightforward since the Pinner reads the email subject line and the next action is to either open it or don’t. What we found, however, was that defining success with metrics that were further downstream (i.e. clicking on the content in the email) was more effective.”"
6,Kevin Li,"“If there’s one takeaway it’s that it’s okay to do small wins. Small wins are good, they will compound. If you’re doing it right the end result will be massive.”"
7,Andrew Caplan,"“The most important thing we've done to improve our user onboarding was to define our activation metric and get serious about tracking the inputs to that metric. Agreeing on what a successfully ""activated"" account looked like, and understanding all the individual actions to get there, allowed us to take our new user onboarding to the next level. We formed a cross-functional team dedicated to increasing that metric. The team is able to clearly prioritize ideas and projects since we all agree what success looks like. That activation metric is paying huge dividends to our users and our company.”"
8,Julie Supan,“There’s more objectivity in one customer sharing their passion and love for a product with another than there is in ads or promotion. It allows the company to spend less to achieve lasting growth.”
9,Chris Savage,"“You can’t run a business today without data. But you also can’t let the numbers drive the car. No matter how big your company is or how far along you are, there’s an art to company-building that won’t fit in any spreadsheet.”"
10,Brian Balfour,"“As you gain fresh insight from your data, it opens the door to new questions. As you have new questions, you need to update your instrumentation and analysis. Saying the process is “done” is saying you understand everything there is to know about your users, product, and channels.”"
11,Matin Movassate,"“Analytics software is uniquely leveraged. Most software can optimize existing processes, but analytics (done right) should generate insights that bring to life whole new initiatives. It should change what you do, not just how you do it.”"
12,Hiten Shah,"“If you pick the right metrics for success, you will be able to significantly improve the focus of the whole team and thus improve your business. Developing these metrics should be done first by making hypotheses about your business and validating / invalidating these hypotheses. From there you will have a good base understanding that will allow you to determine what metrics to focus on and how to define success for your business.”"
13,Carly Fiorina,"“The goal is to turn data into information, and information into insight.”"
14,Ben Porterfield,"“You want everyone to be able to look at the data and make sense out of it. It should be a value everyone has at your company, especially people interfacing directly with customers. There shouldn’t be any silos where engineers translate the data before handing it over to sales or customer service. That wastes precious time.”"
15,Eoghan McCabe,"“We’ve tried to put passion and art and love and creativity ahead of revenue and valuation and buzz and traction, discovering that the latter can often follow the former.”"
16,Stewart Butterfield,"“Of course hard numbers tell an important story; user stats and sales numbers will always be key metrics. But every day, your users are sharing a huge amount of qualitative data, too — and a lot of companies either don't know how or forget to act on it.”"
17,Leo Widrich,"“We live in a time where data is all around us, and there’s a lot of great advice to show us how to make better use of data. However, I’ve found that in some cases this can be a huge waste of time, especially early on with your startup. Replace some of your current focus on quantitative data to qualitative data).”"
18,Jackson Noel,"“The single most important thing we've done for onboarding is planning past the first session. Let's say you have a SaaS application and know that new users who take actions X, Y, and Z end up being really successful."
19,Brian Chesky,"“The problem with Silicon Valley is when you build an app you are expected to make the app go viral and reach millions of people. This is the worst way to think about it — it’s much better to get 100 people to love you. There was no way we could get 1M people on Airbnb, but we could get 100 people to love us. This is when we decided to do things that wouldn’t scale. Getting 100 people to love you is hard — getting people to like you is much easier than getting people to love you.”"
20,Kevin Systrom,"“I learned a lesson from watching other companies who held onto things too long. If you look at the history of companies that have succeeded and the ones that have failed, there’s a pretty clear pattern that the ones that have succeeded typically morph every couple of years into something new. And that change is fairly uncomfortable.”"
21,David Barrett,"“[For early-stage startups,] data is never there when you need it most. At best, data can help you make very small, incremental decisions. But if you’re a startup, you’re focused on big, broad swings — and data has no place in that. You don’t have enough users to draw any meaningful conclusions, and even if you did those users aren’t necessarily representative of your long term target audience. You’ve got data, sure. But not enough to make a genuine, data-driven decision, and pretending otherwise is a recipe for disaster.”"
22,Mitch Lowe,“Use analytics to make decisions. I always thought you needed a clear answer before you made a decision and the thing that he taught me was [that] you’ve got to use analytics directionally…and never worry whether they are 100% sure. Just try to get them to point you in the right direction.”
